总序号,性别,年龄,职业,学历,收入,玩家游戏情况,游戏进入,游戏偏好
5212,1,2,1,3,5,4,2,4
5213,2,1,1,1,1,4,4,5
5214,1,1,1,1,1,2,2,3
5215,2,1,5,3,1,1,4,3
5216,NA,4,6,2,1,4,1,3
5217,1,2,1,2,1,1,2,3
5218,1,1,1,1,5,2,2,2
5219,1,1,1,1,1,1,3,3
5220,1,2,7,3,3,3,3,5
5221,1,1,1,1,1,2,3,2
5222,1,2,1,3,1,4,5,1
5223,1,3,2,4,4,3,5,2
5224,1,3,6,2,3,3,1,3
5225,1,1,1,1,NA,2,3,5
5226,2,2,1,5,1,1,5,3
5227,1,4,2,4,4,4,3,3
5228,NA,3,2,5,3,2,1,1
5229,2,4,4,5,4,3,5,3
5230,1,3,3,5,4,3,3,3
5231,1,2,1,5,1,4,2,5
5232,2,4,5,5,3,3,3,2
5233,1,1,1,1,1,2,3,3
5234,2,1,7,3,3,3,1,5
5235,2,1,1,1,1,2,4,5
5236,1,3,5,2,2,2,3,1
5237,1,1,1,1,1,2,5,2
5238,2,5,7,3,NA,4,5,5
5239,2,1,1,1,1,2,1,5
5240,2,1,1,2,5,2,1,1
5241,1,4,2,4,4,2,2,5
5242,1,1,6,1,1,4,5,5
5243,1,4,7,4,4,4,5,6
5244,2,1,1,2,1,2,3,3
5245,2,1,1,1,NA,2,1,5
5246,1,1,1,2,1,4,5,2
5247,2,1,1,1,5,2,3,5
5248,2,1,1,2,1,1,5,1
5249,1,2,6,2,3,3,3,2
5250,1,1,1,2,1,4,5,2
5251,2,1,1,1,1,2,1,5
5252,1,3,2,4,4,2,1,2
5253,1,2,1,3,1,4,2,6
5254,2,2,1,5,NA,1,1,1
5255,1,3,4,4,5,2,3,5
5256,NA,1,1,1,1,2,1,4
5257,1,1,1,1,1,2,2,3
5258,1,1,1,1,1,2,2,1
5259,1,2,3,3,3,4,3,5
5260,1,5,5,3,3,4,3,1
5261,2,2,1,4,1,4,1,4
5262,1,NA,1,1,1,2,2,1
5263,1,3,4,4,3,2,3,3
5264,1,2,2,5,4,4,3,1
5265,2,1,1,1,1,4,1,6
5266,2,1,1,1,1,1,1,4
5267,2,4,2,3,1,1,1,5
5268,2,1,1,1,1,3,1,3
5269,1,1,1,2,1,2,2,1
5270,1,4,7,5,1,2,3,5
5271,NA,2,1,3,5,2,1,3
5272,1,2,1,3,1,2,3,4
5273,1,1,1,1,1,4,5,5
5274,1,3,4,4,3,3,3,1
5275,1,4,6,3,1,2,3,5
5276,1,1,1,1,1,2,2,2
5277,1,2,1,5,1,2,2,1
5278,2,1,1,1,1,4,3,5
5279,1,5,2,3,4,2,2,2
5280,1,1,1,2,1,2,5,3
5281,1,4,7,3,4,1,5,2
5282,2,1,1,1,1,4,3,2
5283,1,4,2,3,2,2,3,3
5284,1,2,1,5,1,4,5,3
5285,1,4,7,3,2,4,3,3
5286,1,1,4,2,4,2,2,4
5287,1,1,1,1,1,2,3,5
5288,2,2,1,4,1,3,1,2
5289,1,1,1,1,1,2,2,2
5290,1,4,5,2,4,2,1,1
5291,2,1,1,2,1,1,5,5
5292,1,2,1,4,1,2,2,1
5293,1,3,2,4,4,4,2,3
5294,2,5,4,4,4,1,1,5
5295,1,1,1,2,1,2,2,2
5296,2,2,2,4,3,2,1,1
5297,1,2,1,3,1,4,3,5
5298,2,1,1,1,1,4,1,5
5299,1,2,1,5,1,4,4,2
5300,1,2,1,3,1,4,4,4
5301,2,1,1,1,1,4,1,5
5302,2,2,1,3,1,2,1,1
5303,1,3,2,3,2,1,3,3
5304,1,2,1,2,3,2,2,3
5305,1,2,1,4,1,2,3,5
5306,NA,1,1,1,1,2,4,3
5307,1,1,1,4,2,2,2,1
5308,1,1,1,1,1,4,2,2
5309,1,2,2,3,2,2,1,4
5310,1,1,1,5,5,2,5,5
5311,1,1,1,1,1,2,5,4
5312,1,5,5,3,5,2,3,1
5313,2,3,2,4,3,2,3,1
5314,2,2,3,3,4,1,1,3
5315,1,4,4,5,3,2,1,3
5316,2,5,5,2,4,4,5,1
5317,NA,1,1,1,2,4,5,5
5318,1,2,7,4,5,2,4,2
5319,1,1,1,1,1,2,2,3
5320,1,4,7,3,2,2,3,3
5321,1,2,1,2,1,3,5,6
5322,NA,3,7,4,4,2,3,3
5323,1,2,1,4,1,3,5,6
5324,1,2,1,5,1,1,2,5
5325,1,1,1,1,1,4,1,3
5326,2,3,4,3,3,4,4,5
5327,2,2,1,5,1,2,1,3
5328,1,NA,1,5,1,2,3,2
5329,NA,1,1,2,1,2,1,5
5330,1,1,1,5,2,2,5,4
5331,2,2,1,5,1,2,3,3
5332,2,1,1,3,1,3,5,3
5333,1,5,3,3,5,1,3,4
5334,1,5,7,5,1,4,3,5
5335,NA,3,5,2,4,3,3,5
5336,1,1,1,1,1,2,5,5
5337,2,3,6,5,1,4,3,6
5338,1,1,1,2,NA,2,2,2
5339,1,3,4,5,3,2,3,1
5340,1,3,4,5,4,1,5,6
5341,2,2,1,4,1,4,1,2
5342,1,1,1,2,1,2,2,1
5343,2,1,1,2,1,2,1,2
5344,NA,1,1,1,1,4,3,5
5345,2,2,5,2,3,4,1,3
5346,2,2,1,3,1,4,1,4
5347,1,1,1,1,1,1,2,2
5348,2,2,4,4,2,1,3,5
5349,1,2,1,5,NA,4,4,3
5350,1,2,2,5,3,2,2,3
5351,1,1,1,1,1,1,5,3
5352,2,2,1,5,1,4,3,3
5353,1,1,1,1,1,4,2,5
5354,2,4,2,2,2,1,1,5
5355,1,3,4,3,4,2,2,1
5356,1,1,1,1,1,3,2,1
5357,2,3,4,5,4,2,3,3
5358,1,1,7,1,2,1,2,5
5359,2,3,1,5,1,2,3,3
5360,2,1,1,2,1,2,4,3
5361,2,1,1,1,1,2,1,3
5362,2,1,1,1,1,2,3,5
5363,1,2,1,2,1,4,3,1
5364,1,1,1,1,1,4,2,4
5365,1,3,3,5,5,3,5,1
5366,2,2,1,3,1,1,3,2
5367,2,2,1,5,1,2,1,3
5368,2,2,1,2,1,2,3,3
5369,2,4,2,5,4,2,1,2
5370,1,1,1,1,1,2,5,5
5371,1,NA,1,1,1,4,3,5
5372,2,1,1,1,1,1,4,5
5373,1,1,1,1,1,4,2,5
5374,1,1,1,1,1,3,5,6
5375,1,1,1,2,NA,2,2,5
5376,2,3,7,3,2,1,1,5
5377,2,1,1,1,1,2,4,1
5378,1,1,1,1,1,2,2,3
5379,2,3,6,3,1,4,3,4
5380,1,4,5,5,NA,4,2,4
5381,1,1,1,2,3,3,2,1
5382,1,2,1,4,1,3,3,5
5383,1,1,1,1,1,4,3,5
5384,2,1,1,1,1,2,1,2
5385,2,2,1,4,NA,2,4,1
5386,1,1,7,1,5,2,4,3
5387,1,4,5,5,1,2,2,6
5388,NA,3,4,5,5,2,5,5
5389,1,2,2,4,5,4,3,5
5390,1,2,1,4,2,2,1,2
5391,1,2,1,5,1,2,2,3
5392,1,5,2,3,4,2,4,3
5393,1,1,1,1,1,2,2,2
5394,2,2,2,4,3,2,1,2
5395,2,NA,1,1,1,1,1,2
5396,NA,1,1,1,5,1,1,1
5397,2,1,1,2,1,4,3,3
5398,1,1,1,1,1,2,4,2
5399,1,2,1,3,1,1,2,5
5400,1,1,1,1,1,2,3,2
5401,1,5,3,2,4,2,1,1
5402,1,3,7,2,3,2,3,5
5403,2,2,1,5,NA,4,1,3
5404,1,1,1,2,1,4,2,3
5405,1,5,5,2,4,3,3,2
5406,1,1,1,1,NA,1,1,2
5407,1,3,7,5,1,3,1,4
5408,1,1,1,2,1,3,3,5
5409,1,4,4,4,3,2,2,6
5410,1,1,1,2,1,4,2,3
5411,2,2,6,2,1,4,1,3
5412,1,1,1,2,1,4,4,3
5413,1,1,7,1,1,4,2,3
5414,1,3,2,3,4,4,3,2
5415,1,1,1,1,1,4,5,5
5416,1,3,2,5,3,2,3,3
5417,1,1,1,2,1,4,2,5
5418,1,2,1,3,2,2,1,3
5419,1,2,1,5,1,3,1,1
5420,2,1,1,1,1,4,1,6
5421,NA,1,1,1,1,1,1,1
5422,1,1,1,2,1,4,1,4
5423,1,1,1,1,1,2,4,1
5424,1,2,1,3,1,4,3,3
5425,1,4,5,4,1,2,3,3
5426,1,1,1,1,1,2,3,4
5427,2,2,1,5,1,1,1,3
5428,2,2,4,4,5,1,1,1
5429,1,1,1,1,1,4,1,1
5430,1,2,2,2,3,2,3,5
5431,2,1,1,1,1,4,5,3
5432,2,3,2,3,3,1,3,1
5433,1,2,1,3,1,4,4,1
5434,1,1,1,1,1,2,1,5
5435,1,1,1,2,1,2,3,1
5436,2,3,3,4,3,2,3,3
5437,2,4,5,5,5,3,1,2
5438,1,1,1,1,5,4,2,5
5439,2,2,1,5,1,2,3,3
5440,1,2,2,4,3,4,3,2
5441,1,1,1,3,1,4,3,5
5442,1,1,1,1,1,2,3,3
5443,1,1,1,1,NA,2,3,3
5444,1,1,1,1,2,2,4,1
5445,1,1,1,1,1,1,4,5
5446,1,1,1,1,1,2,3,5
5447,1,1,1,2,1,2,5,4
5448,1,2,1,3,NA,2,1,5
5449,1,2,7,4,4,2,2,5
5450,2,1,1,1,1,2,3,3
5451,1,2,1,5,1,4,2,3
5452,2,2,1,3,1,4,1,3
5453,NA,3,2,4,3,3,1,1
5454,1,1,1,1,1,2,5,5
5455,1,1,1,1,1,2,2,3
5456,1,2,5,4,1,2,3,3
5457,2,1,1,1,1,4,3,5
5458,1,1,1,2,1,2,3,4
5459,2,1,1,2,1,3,1,6
5460,1,1,1,1,1,3,2,2
5461,1,2,2,2,5,2,3,2
5462,1,2,1,3,1,2,5,2
5463,2,1,1,2,1,1,1,1
5464,1,NA,1,1,1,4,2,4
5465,NA,NA,1,1,1,4,3,4
5466,2,2,1,2,3,4,3,5
5467,NA,2,1,3,1,4,1,3
5468,2,2,7,2,1,4,1,6
5469,1,1,1,1,1,2,5,1
5470,1,2,1,3,NA,4,1,2
5471,1,4,1,1,2,4,1,6
5472,1,1,1,1,1,2,2,5
5473,1,2,1,5,1,2,2,2
5474,1,1,1,1,1,2,2,5
5475,1,3,2,5,5,2,4,1
5476,1,1,1,1,4,2,4,3
5477,1,1,1,1,NA,4,3,3
5478,1,2,2,4,NA,4,1,3
5479,1,2,1,4,1,2,2,1
5480,1,1,1,2,1,2,1,4
5481,1,2,2,5,5,4,2,3
5482,1,3,3,5,NA,4,4,1
5483,1,3,7,1,1,1,2,5
5484,2,2,1,5,1,4,2,3
5485,1,1,1,1,1,4,4,4
5486,2,1,1,1,1,3,1,2
5487,1,4,3,3,4,4,3,2
5488,2,5,7,4,5,4,5,6
5489,1,2,1,5,1,1,2,1
5490,1,1,1,2,1,3,3,4
5491,1,1,1,1,4,2,3,2
5492,1,2,2,2,3,3,1,5
5493,2,2,1,5,3,2,3,3
5494,1,3,5,4,4,4,1,2
5495,2,3,5,2,2,2,3,2
5496,1,1,1,2,1,2,2,5
5497,2,3,4,5,3,1,3,1
5498,1,2,6,3,1,2,3,3
5499,NA,1,1,1,1,1,1,2
5500,2,3,7,4,1,4,3,2
5501,1,1,1,1,2,1,5,5
5502,1,4,5,4,4,2,3,3
5503,2,2,1,4,1,4,3,3
5504,NA,1,1,2,1,2,4,3
5505,1,1,1,1,1,2,3,2
5506,2,3,6,5,NA,1,1,3
5507,2,2,1,5,3,2,3,3
5508,2,1,1,1,1,2,5,5
5509,1,2,1,3,1,2,5,3
5510,2,2,1,5,1,1,1,2
5511,1,2,3,5,5,2,2,1
5512,1,NA,1,1,1,2,3,4
5513,2,1,1,2,2,3,5,3
5514,1,2,1,3,NA,4,3,5
5515,2,1,1,1,2,4,5,4
5516,1,1,1,1,1,2,2,1
5517,1,4,4,5,5,2,4,1
5518,2,1,1,2,1,4,3,4
5519,1,4,5,5,4,2,3,3
5520,1,1,1,2,NA,4,5,5
5521,1,2,1,4,1,4,3,2
5522,1,3,2,5,4,3,3,3
5523,1,1,1,2,1,2,2,1
5524,1,NA,1,1,1,4,1,1
5525,1,1,1,1,1,2,2,1
5526,2,2,2,4,3,4,1,1
5527,1,4,2,4,4,2,3,3
5528,1,2,1,4,1,3,1,3
5529,2,1,1,1,1,2,3,3
5530,1,1,1,1,1,4,3,2
5531,1,1,1,1,1,4,1,3
5532,1,3,6,2,1,2,2,1
5533,1,3,2,5,4,4,3,1
5534,1,NA,3,4,4,4,3,1
5535,2,3,6,4,1,3,1,2
5536,2,1,1,3,1,2,3,5
5537,2,3,2,4,4,2,3,2
5538,1,3,2,3,3,3,4,3
5539,NA,1,1,1,1,4,5,5
5540,2,1,1,1,5,2,4,4
5541,2,1,1,1,1,4,1,3
5542,1,1,1,5,1,2,3,4
5543,1,1,1,2,1,2,3,2
5544,1,1,1,2,1,2,2,3
5545,2,2,1,4,NA,1,1,3
5546,1,NA,1,1,1,4,3,1
5547,1,1,1,1,1,4,2,2
5548,1,1,1,1,1,4,1,5
5549,1,3,1,2,1,1,5,3
5550,1,1,1,1,5,2,2,5
5551,2,NA,6,3,2,2,3,3
5552,1,1,1,1,1,4,2,2
5553,1,1,1,1,2,4,2,1
5554,2,3,2,2,3,4,3,2
5555,2,2,1,3,1,4,3,1
5556,NA,1,1,2,1,3,1,4
5557,2,2,1,3,1,1,1,3
5558,2,NA,1,1,1,1,1,2
5559,1,2,1,2,1,2,3,1
5560,2,NA,2,3,3,3,5,4
5561,1,2,1,4,NA,2,4,4
5562,1,2,1,3,1,4,3,1
5563,1,1,1,1,2,4,2,2
5564,1,1,1,1,1,2,3,5
5565,1,NA,1,1,1,4,5,5
5566,NA,1,1,1,1,2,5,2
5567,2,NA,1,2,1,2,1,3
5568,NA,1,6,1,1,4,1,6
5569,1,1,1,3,3,4,4,3
5570,1,1,1,1,2,3,3,2
5571,1,2,1,2,1,3,5,3
5572,1,1,1,1,1,4,5,3
5573,2,3,5,5,3,4,3,1
5574,2,2,5,4,2,4,1,3
5575,2,2,1,3,1,1,1,1
5576,1,4,3,4,5,2,2,3
5577,2,3,6,4,NA,1,3,5
5578,1,1,1,3,1,4,3,5
5579,1,3,1,5,1,2,3,1
5580,1,1,1,2,NA,2,2,5
5581,NA,1,1,1,2,3,1,2
5582,2,2,1,3,1,1,5,1
5583,2,2,2,3,1,1,1,2
5584,1,5,2,5,5,4,1,3
5585,2,1,1,1,1,1,1,6
5586,2,2,1,5,1,4,3,1
5587,1,2,5,4,4,4,4,5
5588,2,1,1,1,1,4,1,4
5589,1,1,1,1,1,1,2,1
5590,1,1,1,1,1,4,3,5
5591,1,1,1,3,1,3,3,5
5592,1,2,7,2,3,4,2,5
5593,1,1,1,2,1,2,4,4
5594,NA,1,1,2,1,4,1,5
5595,1,2,5,3,3,3,3,5
5596,2,1,1,1,1,2,3,2
5597,2,1,1,1,NA,4,5,5
5598,2,1,7,1,1,2,5,2
5599,1,4,5,2,4,2,4,5
5600,1,1,1,1,1,2,3,6
5601,2,4,7,2,3,4,3,2
5602,2,1,1,1,1,2,3,5
5603,1,3,3,3,1,2,1,1
5604,1,3,2,3,3,2,3,3
5605,1,3,4,5,3,2,2,3
5606,1,1,1,1,1,4,1,5
5607,2,2,5,2,2,1,3,3
5608,1,3,2,5,4,4,3,3
5609,1,3,2,5,5,3,3,1
5610,2,2,1,4,1,4,1,2
5611,1,1,1,2,1,4,2,5
5612,1,4,4,4,3,2,3,3
5613,1,2,1,3,1,2,2,6
5614,1,2,1,5,1,3,4,4
5615,1,NA,2,4,3,2,2,2
5616,2,2,1,4,1,4,3,2
5617,1,1,1,1,1,2,4,5
5618,1,1,1,1,1,4,1,5
5619,2,1,1,2,1,2,3,2
5620,2,NA,1,5,NA,1,2,2
5621,2,2,2,5,4,3,1,3
5622,1,5,1,1,5,4,2,1
5623,1,1,1,2,1,1,1,6
5624,1,1,1,1,1,4,3,4
5625,2,3,3,3,3,2,3,1
5626,2,1,1,1,1,4,5,3
5627,2,NA,1,3,5,1,3,5
5628,1,3,2,4,3,1,3,2
5629,1,3,5,2,4,1,3,2
5630,1,1,2,2,3,4,1,5
5631,1,4,3,4,NA,2,3,2
5632,1,1,1,3,1,1,5,5
5633,1,3,3,4,5,4,5,5
5634,2,1,1,1,1,4,3,5
5635,NA,1,1,1,1,2,5,1
5636,2,1,1,2,1,4,3,3
5637,2,2,1,3,1,4,5,6
5638,2,1,1,1,1,2,1,5
5639,1,4,5,3,3,2,4,2
5640,1,1,1,2,1,1,1,1
5641,1,2,1,3,1,3,4,3
5642,1,1,1,1,1,2,5,3
5643,1,1,1,1,1,4,2,2
5644,2,1,1,1,1,2,3,1
5645,2,1,1,1,1,2,3,2
5646,NA,1,1,1,NA,4,3,5
5647,1,1,1,1,1,2,2,5
5648,2,2,1,5,1,4,3,4
5649,1,2,1,3,1,3,5,5
5650,1,3,2,4,4,2,5,3
5651,1,1,1,1,2,2,3,5
5652,2,1,1,2,1,4,1,2
5653,1,2,1,4,1,3,2,5
5654,2,3,2,3,3,1,5,6
5655,NA,2,6,5,1,2,4,2
5656,2,1,1,1,1,1,1,1
5657,1,1,1,2,1,2,3,3
5658,1,1,1,2,1,2,2,3
5659,1,1,1,1,1,1,2,1
5660,1,1,1,1,1,2,2,2
5661,1,1,1,1,3,2,3,1
5662,1,1,1,2,1,3,3,4
5663,1,1,1,1,3,2,4,1
5664,2,1,1,1,1,1,1,2
5665,2,2,1,4,1,2,3,6
5666,2,2,1,5,1,4,3,5
5667,2,1,1,1,1,2,5,2
5668,1,1,1,1,1,2,2,3
5669,1,1,7,1,1,4,5,6
5670,2,2,6,2,1,4,4,2
5671,NA,1,1,2,1,2,1,5
5672,1,1,1,1,1,4,2,2
5673,2,1,7,5,5,4,1,5
5674,1,1,3,3,4,3,3,3
5675,2,3,2,2,3,2,3,3
5676,1,1,1,3,1,2,2,4
5677,1,1,1,1,1,4,4,3
5678,1,2,7,2,5,4,2,3
5679,2,1,1,2,1,4,4,2
5680,2,3,7,3,2,4,5,6
5681,1,2,5,4,4,2,2,1
5682,NA,2,4,5,5,4,5,6
5683,2,4,5,3,1,2,1,2
5684,1,1,1,1,1,1,4,1
5685,1,2,1,4,1,2,1,5
5686,1,2,5,5,3,4,3,3
5687,2,1,7,5,5,1,1,2
5688,1,2,5,2,3,2,3,2
5689,1,1,1,2,1,4,1,5
5690,1,1,1,2,1,3,1,5
5691,1,1,1,1,1,4,4,6
5692,1,2,1,2,2,2,1,3
5693,2,3,2,4,2,4,1,2
5694,1,1,6,2,1,2,2,2
5695,NA,1,1,2,1,4,5,6
5696,1,1,1,1,1,2,2,5
5697,1,4,5,3,3,4,1,1
5698,2,1,1,1,1,4,1,5
5699,1,1,1,1,1,2,3,1
5700,1,1,2,1,NA,2,4,2
5701,2,1,1,1,1,1,5,3
5702,2,1,1,1,1,2,1,2
5703,1,2,3,2,1,3,4,3
5704,1,1,1,1,1,3,2,4
5705,1,1,1,2,1,4,5,5
5706,NA,4,1,3,4,4,4,3
5707,1,2,1,4,1,2,3,3
5708,1,1,7,2,3,2,3,6
5709,1,1,1,1,1,2,4,5
5710,1,5,2,3,3,2,3,4
5711,1,1,1,2,1,2,4,1
5712,1,2,1,4,2,3,3,1
5713,1,4,5,3,4,4,5,6
5714,1,4,2,3,3,3,5,1
5715,2,1,1,1,1,4,4,1
5716,1,1,1,2,2,4,1,3
5717,1,2,2,4,3,2,3,2
5718,1,1,1,2,1,2,2,1
5719,2,1,1,1,1,1,5,3
5720,1,3,7,5,3,2,3,6
5721,2,5,3,2,5,1,1,2
5722,2,1,1,1,1,1,5,1
5723,NA,3,2,3,4,2,3,1
5724,1,1,1,2,1,2,3,5
5725,1,NA,5,3,1,2,3,3
5726,2,1,1,2,1,3,1,6
5727,1,1,1,1,1,4,4,3
5728,1,1,1,2,1,2,3,5
5729,1,1,1,2,1,3,2,3
5730,1,1,1,2,1,2,2,2
5731,1,2,1,4,1,1,2,2
5732,1,4,2,4,3,4,3,1
5733,1,2,3,2,1,2,3,5
5734,1,3,7,3,3,2,1,5
5735,1,1,1,1,1,4,3,5
5736,1,2,1,2,1,2,5,4
5737,1,1,2,2,3,4,4,4
5738,2,1,1,1,NA,1,5,1
5739,2,NA,1,1,1,4,1,1
5740,2,NA,1,1,1,2,1,3
5741,2,1,1,2,2,1,1,2
5742,2,1,1,3,1,3,1,5
5743,NA,1,1,1,2,1,2,6
5744,1,2,1,5,1,2,3,5
5745,1,1,1,1,1,4,5,5
5746,1,1,1,1,1,2,2,5
5747,2,1,1,1,1,1,1,5
5748,2,1,1,1,1,4,1,6
5749,1,4,2,4,3,4,5,2
5750,1,1,1,1,1,2,1,2
5751,1,2,1,3,1,1,1,4
5752,1,1,1,1,1,4,3,5
5753,1,1,1,1,1,2,2,2
5754,2,1,1,1,1,4,3,6
5755,1,1,1,3,1,4,1,2
5756,2,1,1,1,1,2,5,2
5757,1,2,2,5,5,1,2,4
5758,1,1,1,2,1,4,4,5
5759,1,NA,1,2,2,2,3,2
5760,2,1,1,2,1,2,1,2
5761,2,1,1,2,1,2,1,2
5762,2,2,2,3,3,1,3,1
5763,2,1,1,1,1,1,3,2
5764,2,2,1,5,1,4,3,3
5765,2,2,1,5,1,2,3,5
5766,1,NA,1,1,1,2,3,4
5767,2,3,3,3,3,2,1,3
5768,1,2,1,3,1,2,2,3
5769,2,2,1,3,1,3,4,5
5770,NA,1,1,2,1,2,3,2
5771,2,3,1,5,4,4,5,2
5772,1,1,1,1,1,2,5,1
5773,2,1,1,2,1,3,1,3
5774,1,4,2,5,4,2,2,3
5775,2,1,1,1,1,4,3,5
5776,2,1,1,5,5,4,3,1
5777,2,1,1,1,1,1,5,2
5778,1,4,3,4,5,2,3,3
5779,1,1,1,1,2,1,2,1
5780,1,NA,4,5,3,3,2,2
5781,1,2,1,3,3,2,1,3
5782,1,1,1,2,1,2,3,2
5783,1,4,2,3,3,1,1,2
5784,1,3,4,4,3,4,1,4
5785,1,5,7,4,1,4,2,5
5786,1,2,1,3,1,2,3,1
5787,1,3,6,2,1,1,3,3
5788,1,2,1,2,1,2,4,1
5789,2,4,5,4,1,1,3,3
5790,1,4,2,3,2,3,3,2
5791,1,2,1,5,1,2,3,1
5792,1,2,1,4,1,2,2,2
5793,2,1,1,1,1,3,5,3
5794,1,1,2,2,1,4,5,6
5795,2,1,1,1,1,2,3,3
5796,1,1,1,1,1,1,2,6
5797,1,2,1,3,1,2,2,3
5798,1,NA,1,5,3,1,4,2
5799,1,1,2,1,3,2,4,1
5800,1,2,1,2,1,4,5,3
5801,2,2,1,5,1,2,3,4
5802,1,4,4,4,3,4,1,5
5803,1,2,6,2,1,2,1,5
5804,1,1,1,1,1,3,2,3
5805,1,1,1,1,1,4,1,3
5806,1,1,1,3,2,2,2,6
5807,1,1,1,2,2,4,2,5
5808,2,1,1,2,1,1,3,5
5809,2,1,1,1,1,4,4,3
5810,1,2,2,3,4,2,3,3
5811,1,1,1,1,1,2,3,5
5812,1,1,1,1,1,2,5,3
5813,1,1,1,2,1,3,3,2
5814,1,3,4,4,3,3,3,1
5815,2,2,1,4,1,4,3,2
5816,1,1,1,1,1,4,1,5
5817,1,1,1,1,1,1,1,2
5818,2,1,1,1,1,2,1,4
5819,2,3,3,5,4,2,3,2
5820,1,1,1,1,1,4,3,3
5821,1,1,1,2,1,2,2,5
5822,2,1,1,4,5,1,3,3
5823,1,1,1,1,1,2,4,3
5824,2,NA,1,5,1,1,1,6
5825,1,2,1,3,1,4,5,5
5826,1,1,1,1,1,4,2,5
5827,1,4,2,5,3,4,4,1
5828,1,3,2,3,3,1,3,2
5829,NA,3,7,4,3,4,1,1
5830,1,1,1,1,1,4,2,5
5831,1,1,1,1,1,4,2,3
5832,1,1,5,1,5,4,3,5
5833,1,1,1,1,4,2,2,5
5834,2,1,1,1,1,1,5,3
5835,1,4,2,4,3,4,3,3
5836,NA,3,2,5,5,4,5,5
5837,1,1,1,1,1,2,1,3
5838,2,1,1,2,1,3,4,5
5839,1,1,1,2,1,4,3,3
5840,1,2,1,5,1,4,1,3
5841,2,1,1,3,5,4,3,6
5842,1,4,4,5,3,4,2,3
5843,1,5,5,2,2,2,1,1
5844,2,1,1,2,1,2,1,2
5845,2,2,1,5,2,2,3,4
5846,1,1,6,2,1,2,2,4
5847,2,1,1,1,1,1,3,2
5848,1,1,1,2,1,4,2,3
5849,2,1,1,1,1,3,1,2
5850,2,2,2,3,1,3,1,2
5851,1,1,1,1,NA,3,2,5
5852,1,1,1,3,1,2,3,3
5853,1,2,1,3,1,2,2,1
5854,1,2,1,4,NA,3,2,4
5855,1,NA,1,1,1,2,3,5
5856,1,1,1,2,1,4,3,5
5857,1,1,1,1,1,1,2,1
5858,2,1,1,1,1,3,5,5
5859,2,1,1,2,1,2,1,3
5860,1,1,1,1,1,4,3,2
5861,1,1,1,2,1,1,2,2
5862,2,2,5,1,3,2,1,3
5863,2,3,4,3,3,4,3,2
5864,2,3,2,5,5,4,1,4
5865,1,3,3,5,3,3,5,5
5866,1,1,1,2,2,2,5,1
5867,2,1,1,1,2,4,1,2
5868,1,1,1,1,1,2,5,4
5869,1,3,5,2,2,2,5,2
5870,2,1,1,1,1,4,3,5
5871,2,1,1,2,1,4,3,3
5872,NA,2,6,3,1,4,4,2
5873,2,3,5,3,1,4,3,2
5874,1,3,6,1,NA,4,3,5
5875,1,3,3,4,4,4,5,5
5876,1,2,1,5,3,2,2,3
5877,1,3,5,3,2,3,3,3
5878,2,2,1,5,NA,4,5,1
5879,2,1,1,1,1,2,5,4
5880,1,5,7,5,1,4,5,5
5881,1,1,1,1,1,4,5,6
5882,1,2,7,3,3,4,3,5
5883,1,NA,1,1,1,2,3,2
5884,1,5,1,3,1,4,5,5
5885,1,1,1,2,1,2,3,5
5886,1,2,1,3,NA,4,5,3
5887,1,1,1,1,1,4,1,5
5888,1,2,6,2,1,2,3,2
5889,1,2,1,5,1,4,3,4
5890,2,1,1,2,1,1,4,6
5891,1,3,5,4,3,4,2,5
5892,1,NA,7,1,1,2,1,2
5893,1,1,1,1,1,4,1,6
5894,2,1,1,1,1,4,1,2
5895,1,1,1,3,NA,3,2,1
5896,2,1,1,2,1,1,4,2
5897,2,3,2,5,4,2,3,2
5898,1,1,1,1,1,3,5,2
5899,2,1,1,1,1,4,3,2
5900,1,1,1,2,2,4,5,2
5901,1,4,4,4,4,2,2,6
5902,1,1,1,1,1,3,2,1
5903,1,4,2,4,4,2,3,1
5904,1,2,5,3,3,4,2,1
5905,1,1,1,1,5,2,3,3
5906,1,1,1,1,1,2,3,5
5907,1,2,1,5,1,4,1,2
5908,2,1,1,1,NA,4,1,3
5909,2,2,1,3,1,1,1,2
5910,1,2,1,3,1,3,1,4
5911,2,1,7,3,5,3,3,2
5912,NA,1,1,2,1,3,1,6
5913,1,2,1,5,1,3,3,2
5914,NA,1,1,1,1,2,1,6
5915,1,2,2,4,NA,2,1,4
5916,2,2,1,3,1,3,3,3
5917,1,1,1,1,1,2,2,4
5918,1,1,1,2,1,2,2,2
5919,2,3,4,4,4,2,1,3
5920,1,1,1,1,1,2,4,5
5921,2,1,1,2,1,4,3,5
5922,1,1,1,3,1,4,3,6
5923,2,4,5,2,2,3,5,2
5924,1,1,1,2,1,2,2,5
5925,2,1,1,1,1,2,3,4
5926,1,1,1,1,5,3,5,3
5927,1,1,1,1,1,1,1,5
5928,1,1,1,2,2,2,2,3
5929,1,1,1,2,1,2,1,1
5930,1,4,2,3,3,2,3,4
5931,NA,1,7,1,1,1,5,5
5932,1,1,1,2,1,1,2,3
5933,1,3,2,3,3,1,2,2
5934,1,1,1,2,1,2,1,6
5935,NA,1,1,1,1,4,1,5
5936,NA,2,1,2,1,2,5,1
5937,1,1,1,2,1,4,5,4
5938,2,1,1,1,3,2,4,1
5939,1,1,1,2,NA,2,3,1
